id,tweet_id,content,concerns
30,1297847982411386881t,"@DailyMail I see China’s on the list of those having put in orders ...NO ABSOLUTELY NOT...They distributed the bloody disease in the 1st place & denied everything, why would we now want them to have our own developed vaccine to copy & sell cheaply making huge profits on the worlds misery 😡",pharma 
31,1364386855806857219t,"A doctor telling you that you’re unhealthy is “shaming”, but a governor telling you that you’re so unhealthy in your 20s that you are among those who would benefit most from the covid vaccine, because you have a comparable risk of death from a cold as a senior citizen, is good..?",side-effect 
32,1336324160016945159t,"@clockendsniper @1davidmartin @SkyNewsBreak Because covid ain't real, children going missing (sex/human trafficking) is real. Average age of covid death's 82+. Average life expectancy in the UK 81. A vaccine that doesn't stop you from getting it or transmitting it. It's a hoax.",ineffective 
33,1417842147756331012t,"@RNAiAnalyst After heavenly miraculous pfffffizer vaccine? Well, with moderna the efficacy would be above 100% easily",ineffective 
34,1405675952504381441t,@CogitoErgoSumAu @Donsvess Deaths are also associated with the Johnson & Johnson vaccine. https://t.co/pI5p6xifMH,side-effect 
35,1325995327069974529t,"@realDonaldTrump @US_FDA They probably realised you've killed enough people with COVID-19. They don't want to add an untested vaccine to your murderous arsenal. But you do you, Trumpy. Just try not to trip over your man-sized bottom lip as you leave the Whitehouse.",rushed 
36,1374054216650657799t,"@TB_TB_TB_TB_TB @wanda35945439 Supporting evidence of the jab = greater susceptibility: 15 Jan, 2021 ‘We see nothing alarming,’ says Norwegian drugs regulator, after 13 deaths linked to Pfizer vaccine jabs — RT World News https://t.co/ZGscBuarQB",side-effect 
37,1361668886865858562t,"@TheRealPro7 Johnson&Johnson produce this vaccine for-non-profit, and it was developed by Janssen Pharmaceuticals. AZ was found (small study) ineffective against SA variant (efficacy only 20%).",ineffective 
38,1341360609384824833t,Suspicions grow that nanoparticles in Pfizer's COVID-19 vaccine trigger rare allergic reactions (Jop de Vrieze / Science) https://t.co/8SN6elNZoC https://t.co/ORNOpMbmuG,ingredients side-effect 
39,1284464661518327808t,Why do you suppose CDC would be so sloppy on test manufacturing for covid? Did you know this sloppiness resulted in massively inflated covid numbers? Would they make money on any covid vaccine? Would they make even more if the vaccine was mandatory? https://t.co/Aja25bDZSX,mandatory 
40,1364922469665173504t,Please don’t take that Covid vaccine it’s poison. Another Dr I heard said it will start attacking the White Blood cells in 4-6 months after taking.,side-effect 
41,1336585792555245569t,I fear Hancock's self back patting at being the first country to give the vaccine could have serious consequences. FDA Says 2 Participants In Pfizer COVID Vaccine Trial Have Died https://t.co/J9TGRGMfq3,side-effect 
42,1375121581970718721t,@Wilson34David @Lauren_m1985 @BorisJohnson Why are you advocating for young people to be vaccinated with an 'experimental vaccine' when they are at virtually no risk from the virus?,rushed 
43,1298655389140090880t,"This is scary! Moderna, pharma company that is “creating” the vaccine for CV... look who is involved: Anthony fauci, Bill Gates, George Soros, and Jeffrey Epstein (when he didn’t kill himself) 4 minutes. RT https://t.co/nCW7xizDwm",pharma 
44,1300996136463773696t,@BignallGeorge @DrEricDing Enron Russian doctors are warning about their own vaccine. Until the long term effects are known about any vaccine they should not be mandated. It’s complete insanity. Do u really trust the WHO with your life?,none
45,1299935539760697344t,fear this virus or flu. I don't get a flu shot. I won't get the vaccine for this corona....does that sound like I'm fearful? America has never shut down for a virus. We should never have shut down. We should have quarantined those who were sick. Which is what we have done in a,unnecessary 
46,1278397251803643905t,"Thick propaganda from all #FakeNewsMedia ⭐️⭐️""Instruments of... WHAT?!? https://t.co/37jmzdxmhS via @YouTube #freedom #Patriots #medicaltyranny #Government #vaccine #Agenda21",political 
47,1297871697111130113t,"@Slartib24574150 @CllrBSilvester There's no proven vaccine against anything, except health.",ineffective 
48,1374834440204083211t,So it's still possible a person could be infected with the corona virus that causes COVID-19 just after vaccination.  Very useless vaccine....,ineffective 
49,1355787145512951810t,@MattEatsMochi It really scares me how much people view the vaccine as the cure to COVID... there are going to be a lot of surprised people when they get infected after they get vaccinated and think the pandemic is over.,ineffective 
50,1378862897586008064t,@ThinkActTank @thisissudheer @asaxena87 @EricTopol @DrEricDing @Covishield Also herd immunity seems to be more of a fantasy when COVID is in question. Even those vaccinated are as susceptible to infection (different strain) as the non vaccinated one. The claim that the vaccines decrease the viral symptoms needs more justification,unnecessary ineffective 
51,1355759312996593669t,"@ainittomai I wouldnt be involved in any financial venture that involved people being forced to be vaccinated, property being taken away, food being removed, and millions of human deaths worldwide. But hey, you do you.",mandatory 
52,1440056687642099717t,Pfizer forecasts $26bn of Covid-19 vaccine revenue after first-quarter success https://t.co/GqMHi7Udef via @PharmaTechFocus - And ZERO liability! Who’ll be laughing all the way to the bank then?🤔,pharma 
53,1355495291089276928t,"@Vgb67 So we all get vaccinated and hope for the best. Virus will still be circulating, we just get a wee bit ill instead. That seems to be the plan.",side-effect 
54,1288190128633110528t,@trueself1898 @CP24 A vaccine wont be mandatory.. so it isnt  going to matter.. eventually people are gonna say screw it.. they already are!,mandatory 
55,1382050350845231105t,The US says not to give Johnson & Johnson vaccines after a woman died from a rare blood clot https://t.co/1E0x20Cf4s https://t.co/2xcUXjHaBS,side-effect 
56,1397650422253465603t,@AstraZeneca can you help my mum get her memory back that your vaccine took away from her and her friend you need to know it is causing severe dementia,side-effect 
57,1409830204114149376t,From Australia COVID's Warped Vaccines Interesting side history on Langley. The author apparently was unaware that Moderna was substantially funded by DARPA. and their jab engineered by NIH. https://t.co/gKrQnhzPtE,pharma 
58,1433168799671492610t,Rep. Johnson is just doing talking points on vaccinations. https://t.co/ByHKc0Ltgz Vaccinated people ALSO spread it to other people.,ineffective 
59,1428237934763954178t,"How many have watched Trump appointee and Pfizer Board Member, @ScottGottliebMD using his role as an analyst for @CNBC to sell his expensive vaccine to America. I hope everyone got good and scared. Now y'all have the third unnecessary dose. Live it up. Africa thanks you. https://t.co/sjs4lTCxNy",political 
60,1336546639918620673t,"@KelseyTuoc That's because it is false. They have 600M doses coming from six manufacturers, to avoid the single-point-of-failure error that the CDC had in April. Of course, if you read more about the details of that Pfizer vaccine, you'll understand to be VERY skeptical of it.",ineffective 
61,1327276055720300546t,"@pfizer @BioNTech_Group Ms. Alcorn said. “It would be a shame that we did all this work, and then we don’t have the public trusting that there’s a safe vaccine.” Let’s hope people reject this rushed vaccine",rushed side-effect 
62,1371866239824498702t,"ICYMI: From numb arms, shortness of breath and developing mouth ulcers, these are some of the side effects some healthcare workers say have experienced since receiving the Johnson & Johnson vaccine. https://t.co/f9myHjcFz7",side-effect 
63,1376937015221092357t,@princessmayyy @ethnic_chucky_ @shayyynex @ashclayborne @cruddydre_ Ok that's relieving because when I look up anything about it for those whose health don't allow the vaccine and I fun nothing. Like we are forgotten or not apart of society. I really hope they do think of accommodations...,none
64,1244317956181540869t,@WalkerRandall6 @Brash_1 @kissmyass79 The point being we can weather this just like all other deaths. I am 72 an I am ready to get on with life. This shutting down all entertainment is taking away too much of our lives. There are NO cures for ANY Virus. It takes yrs to find a vaccine and then it mutates.,ineffective 
65,1337950992684310529t,"@_jennamoon So, what you’re saying: the vaccine does nothing to stop the spread of the SARS-CoV-2 virus. Instead, it suppresses COVID-19 symptoms allowing for asymptomatic spreading by those who are vaccinated. Not to mention possible side effects from vax. Awesome👍",side-effect ineffective 
66,1323028707636879362t,@PFoster68 There is so much money invested in vaccines.....Astra Zeneca to name but a few.....so much at stake. If the virus infection rate drops they know there will be no need for a vaccine. So they have keep up the fear......,pharma 
67,1367182520094089218t,Catholic Bishops Warn That Johnson & Johnson Vaccine Is Morally Problematic https://t.co/fppi93eqeV via Western Journal https://t.co/XbMvsAqpyU,none
68,1249309530132905988t,"Fauci's a greedy fraud. He's the director of NIAID who's producing the so called ""cure"" (vaccines) with drugmaker Moderna. Everything else is a threat to his business #FireFauci @GoJackFlynn @prayingmedic @M2Madness @POTUS @Scavino45 @catturd2 @cjtruth",pharma 
69,1288139669264269314t,"Moderna coronavirus vaccine begins phase 3 trial with 30,000 participants - YouTube https://t.co/NHgDbwzcKj Why did they switch from TRUE SALINE PLACEBO to a VACCINE? #PharmaFraud doing it again https://t.co/QpbWCJZrS6",rushed 
70,1254347317110546432t,"@MapholohT @radebe_kay @Julius_S_Malema @RamaboduObakeng @CyrilRamaphosa What u going to do, ur government is busy talking to bill gate to come and force vaccinate u, how about that.  The soldiers deployment will be to ensure that u take ur Bill gate vaccine.  Know who ur real enemy is",mandatory 
71,1283612958745133056t,"@LowellRoemer Flu vaccine is at BEST 40% effective, if they happen to guess what viruses will be circulating in the future year from when they manufacture them.  If they don’t guess, it can be zero %.  Oh look at Fluzone insert, deaths from all complications of flu shot 0.5%. Worse than COVID",side-effect ineffective 
72,1312069851494731776t,"They will use it on their citizens. Don't know of any Canadian that would want the Chinese vaccine especially when they cannot be trusted. ""What happens if China gets a COVID-19 vaccine first?"" https://t.co/kbxL8XjxUt",country 
73,1377248494574956546t,"German regulator reportedly says nine have died from #bloodclots after taking #AstraZeneca vaccine %age of TTL doses = 0.0005% ie: 1 in 2,00,000 https://t.co/lAr2iAlmon",side-effect 
74,1413958164404375559t,"They needed a pandemic to make significant progress with their plan, which would ultimately lead to VACCINATION, which could be dangerous on the one hand and total control on the other, as MODERNA claims that the people who get these injections will be programmed, like a computer",side-effect 
75,1363880006838009862t,@KymJohnson So u people think that vaccine has any purpose apart from possible killing your generation even faster??? Anyone that is willing to take that vaccine is just as bad as Bill Gates and his hidden now obvious agenda!!,conspiracy 
76,1296225851651088392t,"@SandmanRT @themanof68 There was a report from the Ukraine that 15 people already infected with C19 were given the Moderna vaccine. 8 ended up in the ICU and 5 died. We know ADE can result after being vaccinated and encountering a similar pathogen. Question is, did that happen in reverse in this case?",side-effect 
77,1398419094630584322t,"@normanswan Hmm, Astra Z just not up to the job. Can’t get to herd immunity with that vaccine. Pivot to mRNA now. #PfizerForAll",unnecessary 
78,1333867259564085248t,Why licence it when it’s NOT that remarkable a vaccine ? Moderna's chief medical officer says that vaccine trial results only show that they prevent people from getting sick — not necessarily that recipients won't still be able to transmit the virus https://t.co/Bupt5ewblE,ineffective 
79,1347216299102007300t,"So, in order to supposedly protect himself from contracting what would most likely be a mild, flu-like disease at worst for a man of his age and fitness, he suffers truly horrific internal bleeding more reminiscent of Ebola or Marburg virus, days after receiving Pfizer vaccine.",side-effect 
80,1352936328757997568t,"@Shashie08 Bz of his lack of knowledge and kufungira kure, he went to China and buy vaccine without it being tested ,they vaccinated themselves wanting people to die back home .Mwari vakati bodo, meself murican vangu.Hino zvobackfire .kunofiwa nhaka kumusoro ikoko,isu hatiko",none
81,1378089083780620291t,@cinestrology I’m so sick of this shit. A simple fucking Google will tell you that if you’ve had covid you’re more likely to get a little sick from the vaccine because you have the antibodies. I know 2 anecdotal examples of this as well. SO SICK OF IDIOTS,side-effect 
82,1395319022950907907t,A 53-year-old South Australian man is being treated in intensive care for blood clotting that health authorities say is linked to the AstraZeneca vaccine. https://t.co/7MZwGN6ScI,side-effect 
83,1376776493301444610t,30 reasons not to take the experimental treatment being marketed as a vaccine – https://t.co/epkuk3ZaM3 https://t.co/ieVbQe00Od,rushed 
84,1364635462598598658t,"@Lubilu44 @pcrclaims Absolutely, no one whom is healthy should need the vaccine. Nothing makes sense.",unnecessary 
85,1355373973454745600t,"10. December: FDA was pressured to approve the Pfizer vaccine a couple days in advance of the expected announcement (just heard Howard Dean talking about this in an interview, so people remember it as an egregious move) https://t.co/PYPvJona9C",rushed 
86,1355346390784892930t,The vaccine creators are becoming a school of piranha fish. Why is the FDA approving vaccines that have less than 65% effectiveness?,ineffective 
87,1356920118547152897t,"@MrKRudd Moderna reveal that the so-called vaccine being peddled by the company is actually an 'operating system'. This startling admission confirms what vaccine skeptics have claimed - that COVID is about control, not a virus. https://t.co/CUTXwCmbPI",pharma 
88,1451182587746168833t,"""Sofia Benharira received her first dose of the Pfizer vaccine on September 14 and died on September 21, having suffered a heart attack at her high school the day before."" https://t.co/C72B9WbdwG",side-effect 
89,1446092208394981377t,"@KeytarCatholic Our put another way, spending $0.01 on Chinese made goods is about as connected to abortion as 378,000 people getting a vaccine only tested on fetal cell lines. https://t.co/ei94psMoAL",ingredients 
90,1294599798029524995t,"@CEPIvaccines @vox I feel like suboptimal vaccines are being pushed into population . FDA approves phase 3 without peer review for moderna . What is going on here ? People deserve the best vaccine , not the worst! #ino4800 #inovio",rushed 
91,1445727320086515719t,@demsoceire @Paulius152 @manunited19901 @IrishTimes Did you work at the Wuhan lab? You've swallowed the vaccine is better than natural immunity bullshit as they planned Your account create May 2020 Do you take the Chinese national holidays off? CCP account muted https://t.co/eOlqCyrv1q,unnecessary 
92,1295290740986134529t,"2) I heard that on (again, I can't recall on which news channel(s) - more than one if I recall correctly) (when the #RussianVaccine was announced) that Putin said one of his (two apparently) daughters had the vaccine and some minor side effects..",side-effect 
93,1255829338357981188t,"@MattHancock @AstraZeneca @oxforduni 'The science is uncertain', but we're gonna spaff a vaccine about anyway, and let big pharma make a mint in the process. GTFO.",pharma 
94,1365434104053833731t,"@ashishkjha If it's all I can get, I guess.  Still will not leave home with that vaccine.  Will not feel safe.  Enjoy the ""new normal"".",ineffective 
95,1349282644392083458t,"@JDBakewell : Good morning mam, you are right to take legal action concerning the CHANGE in the application of the Pfizer vaccine. To give a vaccine in the wrong manner is un-ethical, you will find its the governments incompetence and lack of supply .",pharma 
96,1368151260285734913t,Take a vaccine but they’ll still want you to wear a mask. It’s not about CoVId. The more people hear this the sooner they will stop.,none
97,1312324533207142400t,". #WakeUp #doctors #NHS Medical Tyranny, forced vaccinations DNA genetically modified #Moderna funded by #BillGates @NeilClark66 @Piers_Corbyn @SoniaPoulton @simondolan",mandatory 
98,1375666526171226119t,"@Angry_Staffer @TomSauve19 My son in law said he'd never get vaccinated. He is in bed tonight from the side effects of his 2nd dose of Moderna. His father said he'd never get vaccinated, he got the J&J a few weeks ago. One by one they're lining up.",side-effect 
99,1292881487944192008t,I honestly don’t understand why people think Corona is going to ever be controlled or why a vaccine would ever be any more helpful than where we are at with the flu vaccine. This thing isn’t going anywhere. It’s here forever. We can’t contain it. So let’s move forward,unnecessary 
100,1302555697092202496t,"@StarredBastard @AdamJKucharski @JeremyFarrar Well, they haven't done any such thing. The Ox vaccine is a dud, preventing neither transmission or infection. Moderna has shared no useful information in this regard, but has definitely shown a worrying adverse effect profile. Who in their right mind will buy this nonsense.",side-effect ineffective 
101,1365836536697270272t,I would have rather gotten covid again than this fucking vaccine holy shit,none 
102,1299305826251927552t,@daniellevitt22 @Hjowens2 So what happened in the 1980’s to foment EXPONENTIAL growth of autism? Better diagnosis? Autism is not barely noticeable. Where are all my peers in their 50’s with autism? 1986 National Childhood Vaccine Injury Act. ZERO liability for vaccine manufacturers & providers.,side-effect 
103,1354774538362433538t,"@brianlilley We do need to calm down. The history of potential for adverse outcomes from vaccines demand ensuring vaccine safety prior to use. This means many valiant efforts to create a vaccine will and indeed should fall through. For that, no one is to be blamed & surely not our PMJustin.",side-effect 
104,1307066456287444992t,"@TheLastWord @Lawrence @MaryLTrump OPERATION “WARPED"" SPEED On 9/13, Pfizer said its third-stage Covid-19 vaccine trial may be completed by late October. Really? I’m subject # 10551141; I had my first injection on 8/28. The study lasts TWO YEARS. Why the pre-election push? $1.95 billion buys MORE than a vaccine.",political rushed 
105,1293414616253394945t,"significant side effects or harm, but if, for example, these earlier studies suggested that people with asthma tended to have life-threatening asthma flare-ups after receiving the vaccine and then the Russian government were to require all soldiers to take the vaccine regardless",side-effect 
106,1334836186926428161t,@inthesmoke @H3atheroo @PaulBrandITV @susannareid100 I will explain better = Brits pay taxes to Gov and Gov pay insurance to cover from UNLICENSED VACCINE damages made by Pfizer which will be never responsible.... Gov purchased their vaccine without any long term data available on side effect....CLEAR ENOUGH?,rushed side-effect 
107,1362628679239684098t,@saadpb @BoobyJargon @AnjKhem My Dad died after the Modern vaccine. Organs started shutting down. Doctor said no real proof it was the vaccine. He has covid in August. He should not have gotten it. He would still be alive had he not taken it.,side-effect 
108,1348661041606119424t,@ZoeStar28166081 @PFox1982 @piersmorgan I'm seeing the covid vaccine reactions come in hard and fast....it's warning people. The mainstream media has been scaring people about a virus since last March....they don't care about you.,side-effect 
109,1374923064249581573t,@InternetHOF_ I don’t think she’s gonna need the COVID vaccine 💀😭 @goldenchaiii,unnecessary 
110,1301767657398599687t,Lol nobody wanna get that COVID vaccine. So fuck they gonna do with it?😂,none 
111,1363373259886977024t,"@CTVNews @HeatherButtsCTV Can these ""top doctors"" use the same modelling software to show ""dead from vaccine"" numbers (and using the same counting method as ""dead from covid"").   I'd really like to see those projections before subjecting myself to the 'jab'.",side-effect 
112,1254334561825312770t,"@JackieShandu I Agree totally. The politics of this country is highly monetized it's such a pity.  We are hearing that Cyril is busy having talks with Bill Gates on vaccine, and our so called revolutionary opposition are quiet.",political 
113,1298275719600988160t,Why would people take such a vaccine without evidence of efficacy.  I wouldn't.,rushed ineffective 
114,1374365188908982275t,@samstreetwrites @lisachristinect That doesn't sound very voluntary. What about those who choose not be be vaccinated?,mandatory 
115,1379587257246568459t,"Clear Link Between Oxford AstraZeneca Vaccine and Rare Blood Clots in Brain, EMA Official Tells Paper https://t.co/e7fkwdUzU4",side-effect 
116,1350066426585833475t,"In Norway 13 Deaths after Pfizer’s Vaccine. Health Authority: “Normal, they are Elderly and Frail”. Investigations on Us Physician Dead - https://t.co/j5WzTaHGLz https://t.co/GWmXEZhsKw",side-effect 
117,1277661294708109312t,"Covid-19 and where ""Vaccines will 'Never' save us from a deadly equivalent of Spanish Flu if common sense is used -  https://t.co/1flTQpeVEW",unnecessary ineffective 
118,1309819780564647936t,"Which #Vaccine are you talking about.. You have already admitted manufacturing 6-7 different vaccines (ranging from Oxford fake virus to Putin's concoction).. There is a saying .. ""Compounder ho, compounder hi raho.. Doctor maat bano""",pharma 
119,1339957293845278722t,"@euph0bic @SoulessSamurai @HotepJesus It's a common reaction to any needle or similar object being inserted into your body, it happens to me too If you think I'm defending the vaccine by saying this, you're wrong, I'm against it because long term effects are completely unknown + Pfizer CEO wont even take it",side-effect 
120,1283824445627539457t,@MuellerSheWrote because they believe in the fantasy vaccine disease but they don't believe in Covid,none
121,1237171802247495680t,#twitterstorm ask @google *right now* “Who cannot receive vaccines?” #marketcrash #COVID19 #CoronaVirusUpdate #WallStreet @CDCgov @Merck @HHSGov @pfizer are 💵 hungry LIARS //lookup #ICANvCDC 💉 “do vaccines cause autism.” 🧠 CDC LOST! Google is hacked with truth 💣 F You Pharma https://t.co/cFrdLuZxaZ,pharma side-effect 
122,1429931440075063301t,"@veryvirology @rubic3n Odd considering FDA gave an approval for Pfizer today- When a person is vaccinated twice and spreads the virus, that is the real issue. Un Vaxxed people have many reasons- how many do you know of- so if you think its about anti vaxxing-your scratching the surface .",rushed 
123,1355292346376708097t,@CMO_England We’ve 2 patients in our ITU with Covid pneumonitis. Both had their first vaccine over 4 weeks ago. Govt have placed frontline workers & our most vulnerable into a clinical trial they did not consent to. Unethical not to follow Pfizer scientific research studies / recommendations,side-effect 
124,1443333412522233858t,@reemadamin @madinatoure A fourth vaccine? This gym teacher thinks the FDA is going to approve Novavax in November?,rushed 
125,1340752837979070467t,"3,150 Of First 112,807 Recipients Of Pfizer Vaccine Were Left “Unable To Perform Daily Activities” It Is NOT Safe And It Will End Up Killing People.. https://t.co/fRUFsnROos",side-effect 
126,1334640574029324288t,"Fall 2021: Somehow, the latest COVID vaccine has caused the zombie apocalypse. Terror reigns in the streets! Cancers: https://t.co/z9n9B2KuJ9",conspiracy 
127,1377037463470870535t,The New world order is being brought in through fear. Once all you dummies get vaccinated they will blend the government’s of the world into one under the guise of protection for all. Just wait,conspiracy political 
128,1306715166734725120t,They just undermined confidence in their vaccine. I would get the vaccine but not by BioNTech or Pfizer.,none
129,1353490365572141057t,"Well there u have it , how cruel these pple are just make money out a vaccine #PfizerVaccine is really becoming a huge burden to human life , its now a threat than a cure #MondayMotivation",pharma 
130,1336382347025985542t,I’m not against the Covid vaccine at all but it’s a bit strange that our government has granted Pfizer a legal indemnity which protects them from being sued by patients should anything happen down the line😅,pharma 
131,1334877212928073729t,"@mattapharri @dianawalker12 @talkRADIO @iancollins @Piers_Corbyn Totally agree, I'm not not taking it because it will be extremely profitable, I'm not taking it because Pfizer have negotiated indemnities with the UK government against injury and death. They obviously don't think it's safe.",pharma side-effect 
132,1378796542228848642t,"@CheerVid @MikeLav69 “Safe and effective” does not mean “100% of those receiving the vaccine will not contract COVID-19”, in the same way that “seat belts are safe and effective” does not mean “no-one wearing a seat belt will ever be injured in a car crash”.",side-effect ineffective 
133,1337863061085040646t,"@realDonaldTrump In the UK, the first two people given the Pfizer Vaccine went into anaphylactic shock!",side-effect 
134,1268621222075564032t,@IanRCrane Would like to get these hashtags going #VaccinesKill #Billgatesmurderer,side-effect 
135,1333415941783302151t,@HerbalBitters @Bee42681881 @SandraWeeden Moderna vax is claimed to be 94 % efficient. Folk over 70 + have a 95% chance off surviving covid. People must be mad to take the risk on an untested vax.,rushed 
136,1306273458674741248t,"@__ice9 @RolandBakerIII I trust my source. The participants (4/23) developed the Adverse events 3 weeks after the shots which is consistent with an Immune mediated adverse event triggered by the vaccine The reason @UniofOxford is hiding details, since it’s Unethical actions would be revealed @BBCWorld",side-effect 
137,1367133344190914561t,"These Are the Side Effects of the New Johnson & Johnson Vaccine, FDA Says https://t.co/1CGRLWaJZ0 Read this as the CDC says if you have fever as a symptom do not take another shot of vacctine",side-effect 
138,1374458154386214926t,"@8bit_gun Probably the programming somewhat and the way they are doing it in mini steps in the name of safety. So the sheep will always just say, “no it’s just a mask it’s for our safety.” Then again, but it’ll be the vaccine.. it’ll keep going step by step until they get their end goal.",ineffective 
