content,unnecessary,mandatory,pharma,conspiracy,political,country,rushed,ingredients,side-effect,ineffective,religious,none
"@BBCFergusWalsh Moderna's results are in and it was a wipe out in the ""Placebo"" group, they got sick and one died, it sure makes their vaccine look good.. until you compare it with Liverpool mass testing. WTF was in the ""Placebo"" https://t.co/HjmCh7tyea",0,0,0,0,0,0,0,0,1,0,0,0
@khloe I am never going to take the vaccine Khloe! Its poison! Elon Musk is just figuring out that the powers that be don't really care about us. Just google how many people die from vaccines and their side effects every year! The Corona vaccine changes your RNA!!! https://t.co/0tZUYCTGLN,0,0,0,0,0,0,0,0,1,0,0,0
"Don't go by the 100% efficacies of Moderna. Vaccines also come with a lot of side effects. Higher the percentage, more the possibility of long lasting side effects",0,0,0,0,0,0,0,0,1,0,0,0
@travisakers @RonaldKlain There is No Scientific Paper regarding the Vaccines. It's ONLY the Lawyers on behalf of #Pfizer & their PR department who have RELEASED INFO THERE IS NO SCIENTIFIC EVIDENCE IT IS SAFE OR EVEN NEEDED. @joebiden,0,0,0,0,0,0,1,0,0,0,0,0
@Khairykj @MuhyiddinYassin Do Malaysians support abortion? No doubt this #Vaccine has fetal DNA in it. #Pfizer,0,0,0,0,0,0,0,1,0,0,0,0
@wisteriawitch @stillpappy @theramaman @SocialM85897394 @garethicke @BorisJohnson The government are overflating the numbers so they can force us to have vaccine....also why you dont hear any news about possible cures. All the experts quoted funded by Bill Gates. It's a scam,0,0,1,0,1,0,0,0,0,0,0,0
what the fuck do you need a vaccine for if you can't leave your house? bro - you're 100 - fuck it yolo at this point,0,0,0,0,0,0,0,0,0,0,0,1
Seventh person dies after AstraZeneca vaccine A 34-year-old NSW woman has become the seventh Australian to die after taking the AstraZeneca vaccine. https://t.co/698mrs9xev,0,0,0,0,0,0,0,0,1,0,0,0
I knew there was an adamant and outspoken #antivax community. What I wasn't aware of was this sadomasochistic #provax group who are creepily orgasmic over being injected with whatever #BigPharma wants to inject them with,0,0,1,0,0,0,0,0,0,0,0,0
@GulfstreamAv8r @jake_griner @AlexBerenson the shingles vaccine has a worse adverse event rate than pfizer’s. Also getting sick for a day or 2 at worse beets dying on a ventilator in a dark room without the ability to see your family.,0,0,0,0,0,0,0,0,1,0,0,0
"@FatEmperor @LeoVaradkar 1 If masks help, why the distance of 2 m? 2 If distance helps, why do we wear masks? 3 If masks and distance help, why Lockdown? If the 1 + 2 + 3 point helps, why the vaccine? If the vaccine is safe, why discharge from liability in case of complications?🤔🤔🤔",1,0,0,0,0,0,0,0,1,0,0,0
@BillSmi92852819 @ReutersGraphics BTW one of the shortcuts taken was rushing to optimal dose to balance desired vaccine effect vs side effects. And mRNA vaccine companies have avoided HIV studies while @Novavax voluntary did HIV sub group in phase 2. Science vs PR.,0,0,0,0,0,0,1,0,1,0,0,0
Last tweet : No one I know trusts the covid19 swab test = they've got your DNA name for life 2) No one trusts authorities anymore 3) No one trust the vaccination 4) But all believe the virus is very real 5) FaceMask should be mandatory not the injection,0,0,0,1,0,0,0,0,0,0,0,0
@nikki_click @NIGGraha Sorry just that bit of info so insignificant even forgot writing it but yeah I do not merit vaccine as priority 4 maybe 5 or 6 would do!! Just wait and wait 🤣🤣u probably have some illness more significant!,1,0,0,0,0,0,0,0,0,0,0,0
"@RepMattGaetz GET A GRIP, FDA CHIEF! You LIED About The 35% Mortality Rate. The 35% Is The DIFFERENCE Between The HIGH Dosage & The LOW Dosage. There Were ZERO Placibos Involved. Trump's PUSHING The Convalescent Plasma On Us As Putin PUSHES His Vaccine On The Russian Citizens.",0,0,0,0,1,0,0,0,1,0,0,0
"FDA refused continuation of #AstraZeneca trial after three pauses. 1. patient developed MS 2. Patient developed Transverse myelitis 3. Brazil, volunteer died. Rush for results could lead to inferior Covid vaccine, say scientists https://t.co/2Xr9BwDpg3",0,0,0,0,0,0,1,0,1,0,0,0
@itComebackSZN @Vlad2d71828 @chrissaccoccia1 Look at the photo I posted from the vaccine suppliers? The government have been juicing up the covid death figures with the 30 day rule - meaning death totals from flu and pneumonia have collapsed. Yet they are trying to blame vax deaths on anything else! https://t.co/VSIjgYKgDt,0,0,0,0,0,0,0,0,1,0,0,0
Pfizer scientist on mRNA and 'more potent' flu shots • I would be curious to see whatever mRNA vaccine is developed be tested against the flu mist vaccine. The current flu vaccines are about 35% efficacious. #vaccinations #flu https://t.co/24Do0mZUOz,0,0,0,0,0,0,0,0,0,1,0,0
"And tell you it's harmless and easy to treat out the other. Don't take this vaccine. I'm not an antivaxer except when it makes sense, and in this case, it makes sense. End.",0,0,0,0,0,0,0,0,1,0,0,0
"You're about 800 times more likely to die of blood clotting problems after being infected with the SARS-CoV-2 virus . The blood clotting issue with Astra Zeneca has, I think, killed < 1:500,000 Australian who've had this vaccine. Chance of dying in a car accident: about 1:25,000 https://t.co/MzKx0Hp8ux",0,0,0,0,0,0,0,0,1,0,0,0
"@CityNews NACI advices is ridiculous, I don't know how they called scientific research. More, how do you explain us who got 2 Astra Zeneca vaccine doses we're really protected, without leaving 2,160,000 Canadians in a health limbo?",0,0,0,0,0,0,0,0,0,1,0,0
"Healthy Miami Doctor Dies Two Weeks After Receiving Pfizer Covid Vaccine He died from a stroke Sunday morning after suddenly developing a rare autoimmune illness that causes the body to destroy its own platelets, the tiny fragments that help blood to clot https://t.co/fWFY6flRHh",0,0,0,0,0,0,0,0,1,0,0,0
@thato_inama 💀There's no cure for covid there's a vaccine that even the president of Pfizer producing it won't take. It's basically wearing a condom but you can still get covid,0,0,0,0,0,0,0,0,0,1,0,0
@DrNancyM_CDC It is unlikely that covid vaccines will have much impact on epidemics. The efficacy reports on most vaccines are fake statistics. Pfizer's vaccine is known to have side effects that can be worse than covid. https://t.co/4jpN1pOuR7,0,0,0,0,0,0,1,0,1,0,0,0
"A Russian vaccine? 😄😅😆🤣 It reminds me of the infamous TU-144 SST - rushed, dangerous, noisy and deadly. #COVID19 #CovidVaccine https://t.co/pDI9ORp5HK",0,0,0,0,0,0,1,0,1,0,0,0
"@thedweebster @windupbird2017 Oh sorry! So in the public health scotland study -- the effectiveness against hospitalisation fell below 70% 5-6 weeks after the first Pfizer dose. Thats pretty low compared to everything we know about the covid vaccines, and leaves the most vulnerable with a lot of needless risk",0,0,0,0,0,0,0,0,0,1,0,0
"@JennaEllisEsq Getting vaccinated is a danger that can cost you your life. Please avoid getting vaccinated. That's the best gift you can give your family In S.Korea, getting vaccinated officially begin today Feb 26 2021 It's trgedy",0,0,0,0,0,0,0,0,1,0,0,0
"51% of Americans Would Refuse or Delay Receiving the COVID-19 Vaccine, Survey Finds - Despite the relentless push by the medical and political establishment for Americans to roll up their sleeves in acceptance of the new coronavirus vaccine,... https://t.co/ggxmE3RGDl",0,0,0,0,1,0,0,0,0,0,0,0
Vaccine-injured Child used to Push Vaccine Agenda  https://t.co/pv0X68lH6A,0,0,0,0,1,0,0,0,1,0,0,0
"@Luphoko_Sihlang They Should be Given The Astra Zeneca vaccine, that's Got many Side Effects",0,0,0,0,0,0,0,0,1,0,0,0
"They've approved Fauci and Moderna's vaccine, yet Moderna is requesting children aged 12-17 for an efficacy trial with the vaccine against a placebo. (never a placebo) Ummm!? Why is it on the market if they're still recruiting our kids, or anyone as guinea pigs?",0,0,1,0,0,0,0,0,0,0,0,0
Why would anyone healthy get a vaccine? This is elder abuse as far as I am concerned. Start the clock ticking downward.. Tennessee newlyweds in their 80s celebrate life and the COVID-19 vaccine https://t.co/jpFq6xzWIM via @USATODAY,1,0,0,0,0,0,0,0,0,0,0,0
"@ThePatToner @kjgillenwater My Governor is making a fortune investing in a certain COVID testing & vaccine pharma... and watch as he mandates their use. It’ll be “free”, but entirely government subsidized so he and his pals greatly profit.",0,0,0,0,1,0,0,0,0,0,0,0
"UK vaccine fails clinical trials, didn’t even stop the virus in monkeys. Rather than continually pushing false hopes, government needs to be honest and admit vaccine development takes many years. #Oxford https://t.co/AzaIqLNVGv",0,0,0,0,0,0,1,0,0,1,0,0
Moderna Is Testing Its Covid-19 Vaccine on Young Children - The Wall Street Journal Which Young children America? Is This the actual picture with children in line to be tested? I sure don’t see no white kids being used for this Experiment ? https://t.co/nzvNfLOu4G,0,0,0,1,0,0,0,0,0,0,0,0
@NIH your buddies from puppy moderna already selling 3rd dose or still waiting with the multi billion business? Make sure you don't support development universal coronavirus vaccine unless for puppy of course,0,0,1,0,0,0,0,0,0,0,0,0
@AsennaWealth They can keep their RFID chip along with their Corona vaccine.,0,0,0,1,0,0,0,1,0,0,0,0
"@ShamikaRavi @ICMRDELHI @MoHFW_INDIA @BharatBiotech All those advocating for volunteers, please volunteer themselves. I don't want to be a guinea pig for big Pharma, for a vaccine that's not necessary. Especially since the big Pharma has been indemnified of consequences.",1,0,1,0,0,0,0,0,0,0,0,0
@truthshamesthe6 @fitzfun2011 @WrongOnceAgain @devisridhar @nadhimzahawi I will do but I have read the Johnson and Johnson works on every variant I think that would be better than having three vaccine I have not been able to take either of the ones on offer,0,0,0,0,0,0,0,0,0,0,0,1
Wouldn’t be too upset if this covid vaccine kills me,0,0,0,0,0,0,0,0,1,0,0,0
The ‘#vaccines’ do not prevent you from getting #COVID19 and don't prevent you from spreading it to others. The '#vaccine' spike protein remains with you indefinitely. So you have modified your own DNA to fight #COVID without gaining immunity or reducing transmissibility!! 😲,0,0,0,0,0,0,0,0,0,1,0,0
"@thecasualultra Great! 👏👏 Let us fight for our freedom! Say no to Mandatory vaccine, let us be strong, because difficult times in relation to this must come.",0,1,0,0,0,0,0,0,0,0,0,0
it is much more nuanced now. So criticism of vaccines requires precision. Which vaccine specifically? What about it? Concerns over preservatives? Each vaccine and disease model must be addressed individually. Much of the current hysteria is based on a faulty study done by,0,0,0,0,0,0,0,1,0,0,0,0
"From everything I've read, a vaccine is very unlikely. Covid is basically not a respiratory disease but an immune disorder. Some people have a dysfunctional immune response to the virus. There's no way to immunise this.",0,0,0,0,0,0,0,0,0,1,0,0
@BorisJohnson You're pathetic if you're still even considering vaccine passports or 'covid status certification'. Grow a pair and tell those who are pushing for it to F OFF and take their own responsibility to not go anywhere if that bothered.,0,0,0,0,1,0,0,0,0,0,0,0
@dmill187 @Jo_Caulfield @MickSDavies1 When were slaves wearing masks? 🤔 the chances of creating a vaccine is very small as there’s not been one created for any coronavirus! And since this is affecting majority of the world do you believe all the govts are agreeing on this strategy when they all can’t agree normally?,0,0,0,0,0,0,0,0,0,1,0,0
"@peterc_150 @PaulMeekPerth Sure you hear about side effects from other vaccines, even other COVID vaccines. The TGA has also mentioned potential cardiac complications in young men, w/ Pfizer, as being ""under investigation"". Some countries advise Pfizer recipients to avoid exertion for a while due to that.",0,0,0,0,0,0,0,0,1,0,0,0
"@TonyBellew Thats right , that's why you don't want it and they are trying to force it on us all. Watch the video on Yeadon the CEO of Pfizer, he disagrees with it all",0,1,0,0,0,0,0,0,0,0,0,0
@JHowardBrainMD I’m old enough to remember when novavax’s RSV vaccine failed miserably.,0,0,0,0,0,0,0,0,0,1,0,0
"@Ritik44123610 @ShekharGupta @sandygrains And I'm not even talking about ethics of a vaccine testing that not only ask volunteers to risk themselves contracting HIV but also expose others to it. Of course if you are interested in @moderna_tx shares, go ahead invest in them.",0,0,0,0,0,0,1,0,0,0,0,0
"@TheEyeAndTheEar From what I heard, there are no plans to give the vaccine to children, firstly they are unlikely to suffer from covid, and secondly the vaccines have not been tested for their suitability for children. That’s what they said about the Pfizer one so I assume it’s all of them",1,0,0,0,0,0,1,0,0,0,0,0
@SocialM85897394 @LozzaFox @BorisJohnson Why are they still locking us down to July? What purpose does the vaccine have if not to protect the population and end restrictions ?,0,0,0,0,0,0,0,0,0,1,0,0
"My elderly,ill Mother is now refusing to get the vaccine. Her argument is if the government really cared about the elderly, they wouldn’t be making it THIS hard for them to receive it. Multiple family members including myself have failed to get her or my Dad on the list.",0,0,0,0,1,0,0,0,0,0,0,0
@Merck @FortuneMagazine it is LITERALLY called the National Childhood Vaccine Injury Act of 1986 (H.R.5546 99th Congress) it removed liability from the Vaccine Manufacturers No Vaccine on the current schedule has been through a double blind INERT placebo Safety study,0,0,1,0,0,0,0,0,0,0,0,0
@kishkitsch I tried to post an article of deaths following the vaccine but Twitter wouldn't allow it. The 'third wave' will hide deaths by vaccine.,0,0,0,0,0,0,0,0,1,0,0,0
"@thisisenews @kuku27 China says it will be on shelf in few months. It is an evil design, vaccine was made long before, corona released to test effects on world, to reduce two billion people for easy management. It is part mystery, part game. Pfizer has released already",0,0,1,1,0,0,0,0,0,0,0,0
"@thehill Why would he get any briefing? Does it include pointing at pics? ""Choose the person w/ a mask on."" ""Bigly covfefe job! Now choose the vaccine with the highest price tag to make your puppetmasters more wealth."" I truly hope we're testing enough ¬ hurrying for their profits!",0,0,1,0,0,0,0,0,0,0,0,0
"should not receive it. Two people in the United Kingdom had severe allergic reactions to the Pfizer−BioNTech vaccine, Health Canada said in a release on Saturday. The agency said both individuals recovered and had histories of severe allergic reactions.""",0,0,0,0,0,0,0,0,1,0,0,0
@marinski52 @RepThomasMassie The big leap is that you think they have ever done true testing on any vaccine on children versus a true placebo.,0,0,0,0,0,0,1,0,0,0,0,0
"@xoHeather23 @howertonjosh Hi Heather. I’m with you on this issue, and we refuse those for that reason. Do we know Pfizer is using aborted babies in the Covid vax, or is that just based on the fact they’ve used them in other ones?",0,0,0,0,0,0,0,1,0,0,0,0
"@CBCNews this is a bio weapon, planned with a patented virus (pinbright corporation) and a vaccine that is already present to 'combat' it, but in actual fact will contain contaminants that will introduce cancer into people",0,0,0,0,0,0,0,0,1,0,0,0
@NVICLoeDown 🌈 Sweden banned the use of masks when Covid started “unless you had a note from a doctor stating you had Covid-19.” No kids died. Only people over 70 w obesity or other deadly disease died. ❤️Sweden proved vaccines are unnecessary. ❤️Write-in Paul Kangas 4 President.,1,0,0,0,0,0,0,0,0,0,0,0
"@LockdownNo Isn’t it funny that this is a “virus that we know little about” until the discussion turns to vaccination for it? If people aren’t suspicious about that then we’re all, quite frankly, fucked.",0,0,0,0,0,0,1,0,0,0,0,0
"@Sharon75571311 The authorities are using vaccine recipients as lab rats, contrary to the Nuremberg Code: https://t.co/zXpNfqYQBQ",0,0,0,0,0,0,0,1,0,0,0,0
Woman DIES weeks after getting her first AstraZeneca Covid vaccine in Australia | Daily Mail Online https://t.co/CsomEDE9Dp,0,0,0,0,0,0,0,0,1,0,0,0
"Vaccine is not a choice anymore, please google what is happening in Europe now. I cannot give you all the reasons why a panic suddenly reigns in all European Countries. Yes UK was the initiator w/ the new variant. If you have a chance to get the vaccin, please do not hesitate🇫🇷🇺🇸",0,1,0,0,0,0,0,0,0,0,0,0
"@EdH73 @toddeherman @pfizer Makes you wonder yes I can understand stand it’s one video, but Bill Gates has been very pro population control. I think I’ll wait until everyone else gets it should buy me a couple years.",0,0,0,1,0,0,0,0,0,0,0,0
$JNJ Johnson & Johnson #SerialKillerCEO Alex Gorsky has killed more people over his career than the top serial killers combined. #Risperdal #Mesh #Hips #BabyPowder Is the single-shot Covid vaccine next?,0,0,1,0,0,0,0,0,1,0,0,0
"Sorry, buddy | Canada restricts AstraZeneca use for those under 55 https://t.co/sIIyVsC2bj via @YouTube SEE NO SMOKE WITHOUT FIRE PART 3 ITS A UN TESTED VACCINE",0,0,0,0,0,0,1,0,0,0,0,0
"@YannT1 @FaceTheNation @JeromeAdamsMD Literally every ""expert"" has been wrong on every single thing to do with covid, but you keep on trusting them like a good little sheep.  Just a mask.  Just a chip. Just a boxcar for your safety.  Just a required vaccine.  Just some liberties you don't need, right?",0,0,0,1,0,0,0,1,0,0,0,0
"@BorisJohnson You have half-vaccinated these people. I see your dad had both his, so he's all right, eh?",0,0,0,0,0,0,0,0,1,0,0,0
I’m not completely opposed to the COVID vaccine but I am not gonna be part of the first group of people to take it🤷🏾‍♀️ I wanna see what happens months from now before I make an executive decision,0,0,0,0,0,0,1,0,0,0,0,0
@Joyce_Karam They are really ramping up with this Johnson and Johnson vaccine aren't they. I'll take my chances with Covid before I take anything made by J&J,0,0,1,0,0,0,0,0,0,0,0,0
People seeing the Vaccination 'game Changer' was just another load of Government bullshit nothing has changed so what's the real point of the vaccinations ??     https://t.co/2LapfdHKIC via @MailOnline,0,0,0,0,1,0,0,0,0,0,0,0
"@DailyMailUK Is anybody investigating the massive increase in number of deaths in the over 80's after they have been vaccinated? This needs looking into, let's not walk forward blindly into another crisis:  https://t.co/KEfIjPjKv9",0,0,0,0,0,0,0,0,1,0,0,0
Young Doctor Left Paralyzed MINUTES After Taking Pfizer ‘Covid-19’ Vaccine in Mexico https://t.co/sZWKe4dYOh,0,0,0,0,0,0,0,0,1,0,0,0
@MDaware Is the Oxford vaccine safe? Some virologists who have studied adenoviruses are concerned regarding the pathogenicity of adenovirus vector. They opine that the cases of transverse myelitis are LIKELY due to the vaccine. Can I have your thoughts/opinions?Is there a definite risk?,0,0,0,0,0,0,0,0,1,0,0,0
Ati vaccine trials from the UK will happen in Kenya? Why? Is this why numbers keep going up? Is gava planning to make koney by using its people as guinea pigs? #SayNoToVaccines #Africansnotguineapigs https://t.co/r7dAfpkMIN,0,0,1,0,0,0,1,0,0,0,0,0
Health authorities on alert after nurse DIES following vaccination with Pfizer’s Covid-19 shot in Portugal — RT World News https://t.co/Fr67m9I7KL,0,0,0,0,0,0,0,0,1,0,0,0
FOLLOW THE MONEY All roads lead to the Gates Vaccinate the World Mafia! Get Govt's and the Mainstream Media to terrify people into believing that they are at serious risk of dying from #COVID thus creating vast demand for #vaccines they think will protect them $TRILLIONS! https://t.co/MgPbAmoRm7,0,0,1,0,0,0,0,0,0,0,0,0
For the first time I have on Mainstream TV. Tried Today. Morning Joe.GoodMorningAmerica. Squeak Box. Everyone pushes Vaccine. Scares the sheeple with Covid. Masks. Bullies. You are outcast if you think freely makes don’t go along. Brainwash. Horseshit. I cuss,0,1,0,0,0,0,0,0,0,0,0,0
"@The_Acumen There is a lot of data that points to lack of sun exposure or vitamin D levels as driving flu risk. Also, some respected epidemiologists have argued the vaccine does little or nothing, it's compliance effect, or it's somehow protective against being hit by a car, etc.",0,0,0,0,0,0,0,0,0,1,0,0
@hadizel Seems like that vaccine is turning u to Russian 🇷🇺 😀,0,0,0,0,0,0,0,0,0,0,0,1
"Despite Moderna’s cheery press release this AM, clinical trial results for its groundbreaking COVID vaccine could not be much worse. Three of the 15 human guinea pigs in the high dose cohort (250 mcg) suffered a “serious adverse event” within 43 days of receiving Moderna’s jab. https://t.co/vnYnKtazA2",0,0,0,0,0,0,0,0,1,0,0,0
"@IngrahamAngle Watching tonight about forcing people to get the vaccine. What ever happened to the ""it's my body"" approach that the dumbocrats keep pushing to legitimize abortion???",0,1,0,0,0,0,0,0,0,0,0,0
"@PattyHajdu So far the Pfizer evidence points to Bells Palsy, 2 deaths durring rushed trials and several adverse side affects. Is that not science? Or do you pick n choose the science you want to believe? Science shows masks & lockdowns don't work but here we are. How about respect for ppl?",0,0,0,0,0,0,1,0,1,0,0,0
"Leave them to their Fate..mRNA #Moderna 'software of life' DARPA-Funded Biochip To ‘Save’ Us From COVID-19? Once firmly implanted inside the body, human cells are at the mercy of any #mRNA program delivered via this substrate, unleashing a nightmare of possibilities.",0,0,0,1,0,0,0,1,0,0,0,0
"@CallMe_Deshawn @zellieimani If the vaccine works then these ex-presidents will all be in line ahead us common riff-raff anyways, so why are they pretending it's some brave gesture? Like they're the first Russian dog shot into space",0,0,0,0,1,0,0,0,0,0,0,0
"@BBCNews I think more people would listen & watch you if you didn’t spread bullshit news reporting, How about you show facts of calls for COVID and calls for depression or injures etc, also go and ask boris how much money he will make off these dodgy vaccines.",0,0,1,0,0,0,0,0,0,0,0,0
"@KirstieMAllsopp If you're <40, healthy & have no conditions or situations that may put you at extra risk, you DO NOT need a vaccine for #covid19. If you've had covid, you DO NOT need this vaccine. The already very ill / very old / very fat should consider it. 99.7% natural recovery.",1,0,0,0,0,0,0,0,0,0,0,0
"@thebody2u @yxfpmsveeijci @moderna_tx ""THE known sequence in a host""????? The known sequence of what?? Are you saying the human body has only ONE protein that needs to be compared to the viral spike protein sequence? Lmao. It's hilarious watching you try to science! 😂😂",0,0,0,0,0,0,0,0,0,0,0,1
@BigSal43795692 I have a question to Bill Gates and his family .Are you guys will take this vaccine too?Something tells me you will not,0,0,0,0,0,0,0,0,0,0,0,1
"@Europe1 @kuku27 With their vaccine, did Pfizer and BioNTech find the goose that laid the golden eggs? They have #gander not goose, keep this w/ you",0,0,1,0,0,0,0,0,0,0,0,0
"I’m all for vaccines. I believe in science. However, I’m not taking a COVID vaccine while Trump is in office, a vaccine that he pushed and rushed scientists to create. I’ll wait for the real experts’ recommendations. I’m not listening to any politician in regards to health.",0,0,0,0,1,0,1,0,0,0,0,0
"@phl43 @SteffenFrolund If there is just the slightest risk a single person, with no comorbidities or any other risks for getting a serious disease course from contracting Covid, dies from a vaccine, it is not a valid therapy. Especially when there's alternatives. If above was true, go buy sputnik!",0,0,0,0,0,0,0,0,1,1,0,0
I last minute got vaccinated yesterday. Super not planned. I feel like I have the super flu this sucks. That is all.,0,0,0,0,0,0,0,0,1,0,0,0
If this is true... Just read about information gathering about adverse reactions to COVID-19 vaccines in the pic.,0,0,0,0,0,0,0,0,1,0,0,0
@randyhillier I think - for a healthy person - the chance of significant side-effects from the Pfizer vaccine are greater than the Infection Fatality Rate of Covid,0,0,0,0,0,0,0,0,1,0,0,0
@Steve21688916 @Navtweeets @BorisJohnson one was my daughter she had vaccine and end up with covid after 3 days and she was quite poorly for 2 weeks her nan also had the vaccine on Tuesday and end up with covid after 4 days after one vaccine and is in hospital and my dad that was had mild but still positive,0,0,0,0,0,0,0,0,1,1,0,0
"@Mir_SCS @Laurie_Garrett @US_FDA @pfizer You never test a vaccine on immunocompromised people before testing on healthy people. You test on healthy to see if it works and is safe on gen pop, then expose to larger pop to see effects on imcomp/etc persons. Many vaccines aren’t used in pregnancy to my knowledge.",0,0,1,0,0,0,0,0,0,0,0,0
"Typical of San Diego, even Society These days. And if it were ""perfectly safe"" people with some allergies wouldn't be told to beware or not take it. and it would be 100% effective and it's not.  San Diego doctor says COVID-19 vaccine is 'perfectly safe'  https://t.co/da0fxgcCzi",0,0,0,0,0,0,0,0,1,1,0,0
@MattHancock @NHSX Haven’t you been arrested ? I thought you had shares In The company pushing the vaccines. Just stop. No one believes your Covid nonsense lies /tracking /cases /false death numbers. Wake up people,0,0,0,0,0,0,1,0,0,0,0,0
The Condition of a Teenager After the Covid-19 Vaccination! - Must See Sad Video! | Health https://t.co/A34qGgDeEP,0,0,0,0,0,0,0,0,1,0,0,0
@swayarrow Supposedly  vaccines eradicated polio and small pox. Then your guy Bill Gates goes to India and starts a vaccine foundation. In the next month there’s a polio breakout. All I’m saying it’s not irrational to question vaccines when the everything istampered with for a better profit,0,0,1,0,0,0,0,0,0,0,0,0
"@jhaskinscabrera If you've had a #covid19 'vaccine' (2doses), you are as 'protected' as you can be, from a virus with a +99% survival rate. 0.00005% risk to children and 0.1% risk to those healthy ~65y.o.  To insist healthy 'unvaccinated' people should face restrictions is abhorrent. #NoVaxports",1,1,0,0,0,0,0,0,0,0,0,0
